Instância,TP,TT,QPT,QPD,FO,Tempo (Seg),Solução
T_2016.1,26,12,10,11,21,1.273110,Viável
T_2016.2,20,11,1,10,11,0.392703,Viável
T_2017.1,24,16,3,10,13,0.604289,Viável
T_2017.2,35,15,2,27,29,0.793163,Inviável
T_2018.1,43,19,0,31,31,0.948762,Viável
T_2018.2,41,20,1,31,32,1.011997,Viável
T_2019.1,35,17,1,23,24,0.885899,Viável
1,8,13,0,10,10,0.264108,Viável
2,8,13,0,5,5,0.222208,Viável
3,11,18,1,4,5,0.273827,Inviável
4,12,19,0,5,5,0.282474,Viável
5,13,21,0,3,3,0.301964,Viável
6,20,31,0,9,9,0.526269,Viável
7,20,31,0,8,8,0.477146,Viável
8,21,33,0,5,5,0.545959,Viável
9,22,34,1,6,7,0.547021,Inviável
10,25,39,0,3,3,0.632755,Viável
11,28,44,0,5,5,0.614396,Viável
12,28,44,0,6,6,0.662595,Viável
13,31,49,0,8,8,0.684922,Viável
14,32,50,0,11,11,0.817994,Viável
