id,100,200,300,400 
0,Inviável,Inviável,Inviável,Inviável
1,Inviável,Viável,Viável,Inviável
2,Inviável,Inviável,Inviável,Viável
3,Inviável,Viável,Viável,Viável
4,Inviável,Viável,Inviável,Inviável
5,Viável,Inviável,Inviável,Inviável
6,Viável,Inviável,Inviável,Inviável
7,Viável,Viável,Inviável,Inviável
8,Viável,Inviável,Viável,Viável
9,Inviável,Inviável,Inviável,Inviável
10,Viável,Viável,Inviável,Viável
11,Inviável,Inviável,Inviável,Inviável
12,Inviável,Inviável,Inviável,Inviável
13,Viável,Viável,Inviável,Inviável
14,Inviável,Inviável,Inviável,Viável
15,Viável,Inviável,Viável,Viável
16,Viável,Viável,Inviável,Inviável
17,Inviável,Inviável,Inviável,Inviável
18,Viável,Inviável,Viável,Viável
19,Inviável,Viável,Viável,Viável
20,Viável,Viável,Inviável,Inviável
21,Viável,Inviável,Inviável,Inviável
22,Viável,Inviável,Inviável,Inviável
23,Inviável,Inviável,Inviável,Inviável
24,Inviável,Inviável,Viável,Inviável
25,Viável,Inviável,Inviável,Inviável
26,Viável,Viável,Inviável,Inviável
27,Inviável,Viável,Inviável,Inviável
28,Viável,Inviável,Inviável,Inviável
29,Viável,Viável,Inviável,Inviável
