id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.000093,4,0,4,0.946743,4,0,4,0,10,10,0,0,22,22,Viável
2,0.000071,3,0,3,1.083430,3,0,3,0,13,13,0,0,37,37,Viável
3,0.000075,4,0,4,1.350949,4,0,4,0,16,16,0,0,43,43,Viável
4,0.000098,4,0,4,1.605055,4,0,4,0,19,19,0,0,49,49,Viável
5,0.000103,4,0,4,1.852857,4,0,4,0,22,22,0,0,54,54,Viável
6,0.000122,3,0,3,2.386419,3,0,3,0,25,25,0,0,60,60,Viável
7,0.000120,4,0,4,2.639815,4,0,4,0,28,28,0,0,66,66,Viável
8,0.000971,17,0,17,4.650862,16,1,15,1,31,31,2,62,71,71,Inviável
9,0.000153,5,0,5,3.502609,5,0,5,0,34,34,0,0,77,77,Viável
10,0.000190,4,0,4,4.079507,3,1,2,1,37,37,3,49,83,83,Inviável
11,0.000196,8,0,8,4.785531,7,1,6,1,40,40,3,87,88,88,Inviável
12,0.000213,5,0,5,4.822252,5,0,5,0,43,43,0,0,103,103,Viável
13,0.000232,9,0,9,5.311433,9,0,9,0,46,46,0,0,109,109,Viável
14,0.000262,7,0,7,5.853807,7,0,7,0,49,49,0,0,115,115,Viável
15,0.000223,4,0,4,5.712095,4,0,4,0,52,52,0,0,120,120,Viável
16,0.000298,8,0,8,6.828451,8,0,8,0,55,55,0,0,126,126,Viável
17,0.000272,8,0,8,7.198628,7,1,6,1,58,58,2,39,132,132,Inviável
18,0.000291,7,0,7,7.711761,7,0,7,0,61,61,0,0,137,137,Viável
19,0.000354,13,0,13,8.853678,13,0,13,0,64,64,0,0,143,143,Viável
20,0.000488,18,0,18,10.579736,18,0,18,0,67,67,0,0,149,149,Viável
21,0.000381,12,0,12,10.177325,12,0,12,0,70,70,0,0,154,154,Viável
22,0.000400,9,0,9,10.298887,9,0,9,0,73,73,0,0,169,169,Viável
23,0.000421,6,0,6,10.697060,6,0,6,0,76,76,0,0,175,175,Viável
24,0.000570,16,0,16,13.048265,16,0,16,0,79,79,0,0,181,181,Viável
25,0.000461,14,0,14,12.518533,13,1,12,1,82,82,3,182,186,186,Inviável
26,0.000591,13,0,13,14.635650,12,1,11,1,85,85,3,52,192,192,Inviável
27,0.000600,12,0,12,14.397800,12,0,12,0,88,88,0,0,198,198,Viável
28,0.000621,15,0,15,15.019579,15,0,15,0,91,91,0,0,203,203,Viável
29,0.000440,3,0,3,13.305199,3,0,3,0,94,94,0,0,209,209,Viável
30,0.000585,14,0,14,16.047464,14,0,14,0,97,97,0,0,215,215,Viável
