id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status,GAP
1,0.000161,7,0,7,0.312782,7,0,7,0,10,10,0,0,46,46,Viável,
2,0.000106,7,0,7,0.364432,6,1,5,1,15,15,3,83,67,67,Inviável,
3,0.000136,4,0,4,0.457212,4,0,4,0,20,20,0,0,92,92,Viável,
4,0.000194,9,0,9,0.778317,9,0,9,0,25,25,0,0,113,113,Viável,
5,0.000378,13,0,13,0.986748,13,0,13,0,30,30,0,0,138,138,Viável,
6,0.000212,7,0,7,1.027551,7,0,7,0,35,35,0,0,159,159,Viável,
7,0.000178,3,0,3,1.051519,3,0,3,0,40,40,0,0,184,184,Viável,
8,0.000312,10,0,10,1.413817,10,0,10,0,45,45,0,0,205,205,Viável,
9,0.000434,22,0,22,1.957477,21,1,20,1,50,50,3,36,230,230,Inviável,
10,0.000363,11,0,11,1.923608,10,1,9,1,55,55,3,27,251,251,Inviável,
11,0.000266,8,0,8,1.910518,8,0,8,0,60,60,0,0,276,276,Viável,
12,0.000535,17,0,17,2.701651,17,0,17,0,65,65,0,0,297,297,Viável,
13,0.000470,17,0,17,2.631805,17,0,17,0,70,70,0,0,322,322,Viável,
14,0.000776,20,0,20,3.255888,20,0,20,0,75,75,0,0,343,343,Viável,
15,0.000807,26,0,26,3.906788,25,2,23,1,80,80,1,25,368,368,Inviável,
16,0.000800,21,0,21,3.939041,21,0,21,0,85,85,0,0,389,389,Viável,
17,0.000981,25,0,25,4.496141,25,0,25,0,90,90,0,0,414,414,Viável,
18,0.000826,18,0,18,4.568687,18,0,18,0,95,95,0,0,435,435,Viável,
19,0.000473,2,0,2,3.770130,2,0,2,0,100,100,0,0,460,460,Viável,
20,0.000991,24,0,24,5.188338,24,0,24,0,105,105,0,0,481,481,Viável,
21,0.001428,25,0,25,6.117057,25,0,25,0,110,110,0,0,506,506,Viável,
22,0.000825,12,0,12,5.614693,12,0,12,0,115,115,0,0,527,527,Viável,
23,0.001844,51,0,51,8.492271,50,2,48,1,120,120,2,71,552,552,Viável,
24,0.001926,37,0,37,8.159235,37,0,37,0,125,125,0,0,573,573,Viável,
25,0.000900,16,0,16,6.753632,16,0,16,0,130,130,0,0,598,598,Viável,
26,0.001385,30,0,30,8.190632,30,0,30,0,135,135,0,0,619,619,Viável,
27,0.001397,29,0,29,8.274704,29,0,29,0,140,140,0,0,644,644,Viável,
