id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.000583,16,0,16,4.625579,15,1,14,1,30,30,3,44,123,123,Inviável
2,0.000286,15,0,15,5.116896,14,2,12,1,40,40,2,108,164,164,Inviável
3,0.000229,8,0,8,6.317155,6,1,5,2,50,50,3,112,205,205,Inviável
4,0.000367,14,0,14,8.510750,13,1,12,1,60,60,3,78,246,246,Inviável
5,0.000413,12,0,12,10.136420,11,1,10,1,70,70,3,20,287,287,Inviável
6,0.000592,21,0,21,13.461862,20,1,19,1,80,80,3,115,328,328,Inviável
7,0.000569,13,0,13,14.868913,12,1,11,1,90,90,3,8,369,369,Inviável
8,0.000758,20,0,20,17.942385,20,0,20,0,100,100,0,0,410,410,Viável
9,0.001439,39,0,39,26.738468,38,3,35,1,110,110,1,129,451,451,Inviável
10,0.000822,22,0,22,23.862009,22,0,22,0,120,120,0,0,492,492,Viável
11,0.002102,38,0,38,32.710876,38,0,38,0,130,130,0,0,533,533,Viável
12,0.001767,43,0,43,36.535168,43,0,43,0,140,140,0,0,574,574,Viável
13,0.001416,29,0,29,35.974224,29,0,29,0,150,150,0,0,615,615,Viável
14,0.001533,28,0,28,40.678532,28,0,28,0,160,160,0,0,656,656,Viável
15,0.001509,29,0,29,43.687519,28,1,27,1,170,170,3,33,697,697,Inviável
16,0.004178,67,0,67,60.574635,66,1,65,1,180,180,3,192,738,738,Inviável
17,0.002510,49,0,49,60.850784,48,1,47,1,190,190,2,135,779,779,Inviável
18,0.002190,39,0,39,60.179825,38,1,37,1,200,200,3,142,820,820,Inviável
19,0.012961,59,0,59,74.183907,58,1,57,1,210,210,3,17,861,861,Inviável
20,0.001877,24,0,24,64.467567,24,0,24,0,220,220,0,0,902,902,Viável
21,0.005284,79,0,79,86.009048,78,1,77,1,230,230,3,100,943,943,Inviável
22,0.002556,38,0,38,81.460571,38,0,38,0,240,240,0,0,984,984,Viável
23,0.004020,52,0,52,92.317101,52,0,52,0,250,250,0,0,1025,1025,Viável
